price,num,reason,status,operation,datetime,code
13.24,700.0,strategy_name,success,buy,2017-05-09,002039
18.68,500.0,strategy_name,success,buy,2017-05-09,300302
14.81,600.0,strategy_name,success,buy,2017-05-09,000977
16.47,600.0,strategy_name,success,buy,2017-05-09,300363
9.41,1000.0,strategy_name,success,buy,2017-05-09,603023
4.53,2200.0,strategy_name,success,buy,2017-05-09,000886
10.15,900.0,strategy_name,success,buy,2017-05-09,000533
23.69,400.0,strategy_name,success,buy,2017-05-09,600182
5.23,1900.0,strategy_name,success,buy,2017-05-09,601339
20.88,400.0,strategy_name,success,buy,2017-05-09,300497
3.31,3000.0,strategy_name,success,buy,2017-05-09,600103
19.98,500.0,strategy_name,success,buy,2017-05-09,000998
70.18,100.0,strategy_name,success,buy,2017-05-09,000028
7.13,1400.0,strategy_name,success,buy,2017-05-09,300091
6.97,1400.0,strategy_name,success,buy,2017-05-09,002437
8.31,1200.0,strategy_name,success,buy,2017-05-10,600858
5.83,1700.0,strategy_name,success,buy,2017-05-10,002385
16.9,500.0,strategy_name,success,buy,2017-05-10,300196
6.31,1500.0,strategy_name,success,buy,2017-05-10,002181
11.83,800.0,strategy_name,success,buy,2017-05-10,300365
18.42,500.0,strategy_name,success,buy,2017-05-10,600835
9.96,1000.0,strategy_name,success,buy,2017-05-10,002367
12.68,700.0,strategy_name,success,buy,2017-05-10,002295
6.4,1500.0,strategy_name,success,buy,2017-05-10,002374
5.46,1800.0,strategy_name,success,buy,2017-05-10,000543
15.15,600.0,strategy_name,success,buy,2017-05-10,002038
6.29,1500.0,strategy_name,success,buy,2017-05-10,300301
11.54,800.0,strategy_name,success,buy,2017-05-10,600597
12.32,800.0,strategy_name,success,buy,2017-05-10,000625
21.25,400.0,strategy_name,success,buy,2017-05-11,002581
5.54,1800.0,strategy_name,success,buy,2017-05-11,000863
7.28,1300.0,strategy_name,success,buy,2017-05-11,002285
6.15,1600.0,strategy_name,success,buy,2017-05-11,600828
5.46,1800.0,strategy_name,success,buy,2017-05-11,600225
25.6,300.0,strategy_name,success,buy,2017-05-11,600976
10.22,900.0,strategy_name,success,buy,2017-05-11,000533
12.45,800.0,strategy_name,success,buy,2017-05-11,002736
8.3,1200.0,strategy_name,success,buy,2017-05-11,600151
2.6,3800.0,strategy_name,success,buy,2017-05-11,600282
9.32,1000.0,strategy_name,success,buy,2017-05-11,600712
17.03,500.0,strategy_name,success,buy,2017-05-11,002364
13.75,700.0,strategy_name,success,buy,2017-05-11,000156
6.19,1600.0,strategy_name,success,buy,2017-05-11,002165
5.63,1700.0,strategy_name,success,buy,2017-05-11,000516
7.2,1300.0,strategy_name,success,buy,2017-05-11,002248
3.49,2800.0,strategy_name,success,buy,2017-05-12,600256
14.23,700.0,strategy_name,success,buy,2017-05-12,002699
17.2,500.0,strategy_name,success,buy,2017-05-12,600373
9.78,1000.0,strategy_name,success,buy,2017-05-12,002237
2.47,4000.0,strategy_name,success,buy,2017-05-12,600527
30.08,300.0,strategy_name,success,buy,2017-05-12,000869
6.67,1400.0,strategy_name,success,buy,2017-05-12,000421
5.76,1700.0,strategy_name,success,buy,2017-05-12,600828
9.05,1100.0,strategy_name,success,buy,2017-05-12,002644
19.36,500.0,strategy_name,success,buy,2017-05-12,002186
4.89,2000.0,strategy_name,success,buy,2017-05-12,600811
5.93,1600.0,strategy_name,success,buy,2017-05-12,000735
3.47,2800.0,strategy_name,success,buy,2017-05-12,000659
14.36,600.0,strategy_name,success,buy,2017-05-12,600030
20.18,400.0,strategy_name,success,buy,2017-05-12,300269
26.58,300.0,strategy_name,success,buy,2017-05-12,300203
3.0,3300.0,strategy_name,success,buy,2017-05-12,002031
18.83,500.0,strategy_name,success,buy,2017-05-12,600138
11.46,800.0,strategy_name,success,buy,2017-05-12,002187
8.9,1100.0,strategy_name,success,buy,2017-05-12,002375
10.8,900.0,strategy_name,success,buy,2017-05-12,000810
5.83,1700.0,strategy_name,success,buy,2017-05-12,002550
15.29,600.0,strategy_name,success,buy,2017-05-12,002422
9.92,1000.0,strategy_name,success,buy,2017-05-12,002293
17.46,500.0,strategy_name,success,buy,2017-05-12,600585
17.27,500.0,strategy_name,success,buy,2017-05-12,600007
9.76,1000.0,strategy_name,success,buy,2017-05-12,000705
8.71,1100.0,strategy_name,success,buy,2017-05-12,601965
4.18,2300.0,strategy_name,success,buy,2017-05-12,600269
17.76,500.0,strategy_name,success,buy,2017-05-12,002138
6.38,1500.0,strategy_name,success,buy,2017-05-12,600757
4.01,2400.0,strategy_name,success,buy,2017-05-12,601333
5.15,1900.0,strategy_name,success,buy,2017-05-12,000543
6.5,1500.0,strategy_name,success,buy,2017-05-12,300214
14.42,600.0,strategy_name,success,buy,2017-05-12,603885
3.55,2800.0,strategy_name,success,buy,2017-05-12,002498
5.07,1900.0,strategy_name,success,buy,2017-05-12,601898
3.67,2700.0,strategy_name,success,buy,2017-05-12,600252
17.67,500.0,strategy_name,success,buy,2017-05-12,000938
8.52,1100.0,strategy_name,success,buy,2017-05-12,600168
6.88,1400.0,strategy_name,success,buy,2017-05-12,300091
19.71,500.0,strategy_name,success,buy,2017-05-12,601127
8.1,1200.0,strategy_name,success,buy,2017-05-12,002629
13.99,700.0,strategy_name,success,buy,2017-05-12,603222
14.28,700.0,strategy_name,success,buy,2017-05-12,002444
12.7,700.0,strategy_name,success,buy,2017-05-12,600692
7.87,1200.0,strategy_name,success,buy,2017-05-12,000931
6.18,1600.0,strategy_name,success,buy,2017-05-12,600067
7.84,1200.0,strategy_name,success,buy,2017-05-12,600800
5.52,1800.0,strategy_name,success,buy,2017-05-12,000516
4.07,2400.0,strategy_name,success,buy,2017-05-12,002305
17.89,500.0,strategy_name,success,buy,2017-05-12,603168
14.23,700.0,strategy_name,success,buy,2017-05-15,002699
8.35,1100.0,strategy_name,success,buy,2017-05-15,000665
7.46,1300.0,strategy_name,success,buy,2017-05-15,002652
7.29,1300.0,strategy_name,success,buy,2017-05-15,600712
6.8,1400.0,strategy_name,success,buy,2017-05-15,002248
10.02,900.0,strategy_name,success,buy,2017-05-16,600807
7.8,1200.0,strategy_name,success,buy,2017-05-16,002015
10.71,900.0,strategy_name,success,buy,2017-05-16,600367
4.85,1800.0,strategy_name,success,buy,2017-05-16,600226
,,insufficient fund,fail,buy,2017-05-16,000631
,,insufficient fund,fail,buy,2017-05-16,600976
,,insufficient fund,fail,buy,2017-05-16,300365
,,insufficient fund,fail,buy,2017-05-16,600143
,,insufficient fund,fail,buy,2017-05-16,300091
,,insufficient fund,fail,buy,2017-05-17,600807
,,insufficient fund,fail,buy,2017-05-17,300494
,,insufficient fund,fail,buy,2017-05-17,002366
,,insufficient fund,fail,buy,2017-05-17,600053
,,insufficient fund,fail,buy,2017-05-17,300363
,,insufficient fund,fail,buy,2017-05-17,000404
,,insufficient fund,fail,buy,2017-05-17,002181
,,insufficient fund,fail,buy,2017-05-17,600211
,,insufficient fund,fail,buy,2017-05-17,000738
,,insufficient fund,fail,buy,2017-05-17,600143
,,insufficient fund,fail,buy,2017-05-17,600650
,,insufficient fund,fail,buy,2017-05-17,600835
,,insufficient fund,fail,buy,2017-05-17,002293
,,insufficient fund,fail,buy,2017-05-17,600736
,,insufficient fund,fail,buy,2017-05-17,600118
,,insufficient fund,fail,buy,2017-05-17,002657
,,insufficient fund,fail,buy,2017-05-17,000635
,,insufficient fund,fail,buy,2017-05-17,002244
,,insufficient fund,fail,buy,2017-05-17,002247
,,insufficient fund,fail,buy,2017-05-17,600876
,,insufficient fund,fail,buy,2017-05-17,000521
,,insufficient fund,fail,buy,2017-05-17,002568
,,insufficient fund,fail,buy,2017-05-18,002443
,,insufficient fund,fail,buy,2017-05-19,600820
,,insufficient fund,fail,buy,2017-05-19,600804
,,insufficient fund,fail,buy,2017-05-22,600481
,,insufficient fund,fail,buy,2017-05-23,000900
,,insufficient fund,fail,buy,2017-05-23,601377
,,insufficient fund,fail,buy,2017-05-23,600481
,,insufficient fund,fail,buy,2017-05-23,002500
,,insufficient fund,fail,buy,2017-05-23,600816
,,insufficient fund,fail,buy,2017-05-23,002736
,,insufficient fund,fail,buy,2017-05-23,601928
,,insufficient fund,fail,buy,2017-05-23,600061
,,insufficient fund,fail,buy,2017-05-23,300131
,,insufficient fund,fail,buy,2017-05-23,600755
,,insufficient fund,fail,buy,2017-05-23,600389
,,insufficient fund,fail,buy,2017-05-23,300039
,,insufficient fund,fail,buy,2017-05-23,600073
,,insufficient fund,fail,buy,2017-05-23,601555
,,insufficient fund,fail,buy,2017-05-23,600369
,,insufficient fund,fail,buy,2017-05-23,600452
,,insufficient fund,fail,buy,2017-05-23,300184
,,insufficient fund,fail,buy,2017-05-23,000750
,,insufficient fund,fail,buy,2017-05-23,600252
,,insufficient fund,fail,buy,2017-05-23,601198
,,insufficient fund,fail,buy,2017-05-23,603222
,,insufficient fund,fail,buy,2017-05-23,000719
,,insufficient fund,fail,buy,2017-05-23,000560
,,insufficient fund,fail,buy,2017-05-23,600958
17.03,500.0,stop_loss,success,sell,2017-05-24,002364
17.57,300.0,strategy_name,success,buy,2017-05-24,600539
7.42,100.0,strategy_name,success,buy,2017-05-24,600094
,,insufficient fund,fail,buy,2017-05-24,002666
,,insufficient fund,fail,buy,2017-05-24,002470
,,insufficient fund,fail,buy,2017-05-24,300280
,,insufficient fund,fail,buy,2017-05-24,002081
,,insufficient fund,fail,buy,2017-05-24,002550
,,insufficient fund,fail,buy,2017-05-24,300396
,,insufficient fund,fail,buy,2017-05-24,603968
,,insufficient fund,fail,buy,2017-05-24,600919
,,insufficient fund,fail,buy,2017-05-24,002185
,,insufficient fund,fail,buy,2017-05-24,002262
,,insufficient fund,fail,buy,2017-05-24,002047
,,insufficient fund,fail,buy,2017-05-24,600180
,,insufficient fund,fail,buy,2017-05-24,000815
8.17,2300.0,stop_loss,success,sell,2017-05-25,600712
12.58,700.0,strategy_name,success,buy,2017-05-25,600234
11.84,500.0,strategy_name,success,buy,2017-05-25,002295
,,insufficient fund,fail,buy,2017-05-25,600735
,,insufficient fund,fail,buy,2017-05-25,000998
,,insufficient fund,fail,buy,2017-05-25,600329
,,insufficient fund,fail,buy,2017-05-25,600557
,,insufficient fund,fail,buy,2017-05-25,600804
,,insufficient fund,fail,buy,2017-05-25,600848
,,insufficient fund,fail,buy,2017-05-25,300190
,,insufficient fund,fail,buy,2017-05-26,002073
,,insufficient fund,fail,buy,2017-05-26,300196
6.76,100.0,strategy_name,success,buy,2017-05-26,603333
,,insufficient fund,fail,buy,2017-05-26,300557
